,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,"creel,MX",27.75,68.06,65.0,32.0,2.93
1,"nizhneyansk,RU",,,,,
2,"kodiak,US",39.95,82.4,58.0,1.0,8.05
3,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
4,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
5,"esperance,AU",-33.86,42.59,91.0,0.0,4.38
6,"banjar,ID",-7.37,71.39,98.0,80.0,3.15
7,"lapy,PL",52.99,52.31,93.0,92.0,7.96
8,"barrow,US",39.51,78.8,78.0,75.0,3.36
9,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
10,"kalmunai,LK",7.42,74.36,96.0,36.0,7.63
11,"ribeira grande,PT",38.52,70.22,100.0,80.0,2.37
12,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
13,"antofagasta,CL",-23.65,57.2,82.0,20.0,5.82
14,"senovo,BG",43.65,57.17,70.0,32.0,3.15
15,"lock haven,US",41.14,71.6,94.0,90.0,4.7
16,"perth,AU",-31.95,53.6,76.0,0.0,2.24
17,"hilo,US",19.71,82.4,58.0,1.0,8.05
18,"castro,CL",-42.48,32.06,100.0,8.0,1.36
19,"samalaeulu,WS",,,,,
20,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
21,"alappuzha,IN",,,,,
22,"mandalgovi,MN",45.76,59.24,77.0,68.0,14.0
23,"puerto ayora,EC",-0.74,78.8,61.0,75.0,12.75
24,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
25,"panjakent,TJ",39.5,69.8,49.0,75.0,4.7
26,"mar del plata,AR",-46.43,35.48,78.0,12.0,13.67
27,"samusu,WS",,,,,
28,"georgetown,SH",-7.93,77.42,100.0,76.0,21.27
29,"victoria,CA",47.77,60.8,44.0,75.0,25.28
30,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
31,"torbay,CA",47.66,60.8,44.0,75.0,25.28
32,"ngukurr,AU",,,,,
33,"esperance,AU",-33.86,42.59,91.0,0.0,4.38
34,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
35,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
36,"tiksi,RU",71.64,74.27,51.0,8.0,4.27
37,"bredasdorp,ZA",-34.53,59.0,62.0,76.0,10.29
38,"bengkulu,ID",,,,,
39,"tuatapere,NZ",-46.13,43.94,100.0,44.0,19.37
40,"minalin,PH",14.97,80.6,88.0,90.0,2.24
41,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
42,"taolanaro,MG",,,,,
43,"ponta do sol,CV",17.2,72.2,100.0,20.0,15.46
44,"tshikapa,CD",-6.42,68.33,93.0,20.0,2.15
45,"north bend,US",43.41,66.2,63.0,1.0,21.92
46,"severo-kurilsk,RU",50.68,45.65,92.0,92.0,13.44
47,"cidreira,BR",-30.17,69.32,66.0,80.0,8.41
48,"talnakh,RU",69.49,59.06,69.0,0.0,4.61
49,"kudahuvadhoo,MV",2.67,82.64,100.0,68.0,6.96
50,"pacifica,US",37.61,102.2,30.0,1.0,17.22
51,"aswan,EG",24.09,95.0,16.0,0.0,11.41
52,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
53,"kargasok,RU",59.06,59.78,73.0,0.0,4.16
54,"udachnyy,RU",66.42,70.58,59.0,68.0,3.27
55,"tashla,RU",53.71,60.8,82.0,0.0,6.71
56,"avarua,CK",-21.21,84.2,74.0,40.0,5.82
57,"faya,TD",,,,,
58,"taolanaro,MG",,,,,
59,"los llanos de aridane,ES",28.66,69.8,77.0,0.0,2.24
60,"amparai,LK",,,,,
61,"vaini,TO",-21.2,77.0,73.0,40.0,9.17
62,"canon city,US",39.46,80.75,8.0,0.0,8.52
63,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
64,"santa cruz,CR",10.26,87.8,62.0,75.0,6.93
65,"plouzane,FR",48.38,59.0,76.0,0.0,6.93
66,"geraldton,AU",-28.77,46.4,81.0,0.0,4.7
67,"tromso,NO",69.65,42.8,81.0,75.0,5.82
68,"san cristobal,EC",-1.02,62.03,97.0,64.0,2.15
69,"kingsland,US",30.8,96.8,70.0,1.0,12.75
70,"barrow,US",39.51,78.8,78.0,75.0,3.36
71,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
72,"yellowknife,CA",62.45,64.4,88.0,90.0,8.05
73,"vestmanna,FO",62.16,50.0,100.0,92.0,11.41
74,"georgetown,SH",-7.93,77.42,100.0,76.0,21.27
75,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
76,"college,US",64.86,69.8,32.0,44.0,12.75
77,"jamestown,SH",-15.94,71.21,100.0,0.0,20.83
78,"buala,SB",-8.15,82.46,92.0,68.0,12.33
79,"klaksvik,FO",62.23,50.0,100.0,100.0,11.41
80,"hualmay,PE",-11.1,56.99,98.0,24.0,5.06
81,"kapaa,US",22.08,84.2,66.0,40.0,16.11
82,"bredasdorp,ZA",-34.53,59.0,62.0,76.0,10.29
83,"marawi,SD",18.48,81.92,56.0,0.0,3.38
84,"castro,CL",-42.48,32.06,100.0,8.0,1.36
85,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
86,"albany,AU",-35.02,42.05,92.0,48.0,2.93
87,"mahebourg,MU",-20.41,71.6,68.0,40.0,5.82
88,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
89,"salym,RU",60.06,56.81,99.0,92.0,9.64
90,"vaitupu,WF",,,,,
91,"sentyabrskiy,RU",,,,,
92,"lorengau,PG",-2.02,82.64,100.0,64.0,4.05
93,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
94,"kununurra,AU",-15.77,64.4,26.0,0.0,5.82
95,"bethel,US",60.79,55.4,58.0,90.0,4.7
96,"ozgon,KG",,,,,
97,"fort nelson,CA",58.81,80.6,26.0,75.0,6.93
98,"bredasdorp,ZA",-34.53,59.0,62.0,76.0,10.29
99,"bengkalis,ID",,,,,
100,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
101,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
102,"dingle,IE",52.14,53.93,100.0,0.0,5.61
103,"xiaoyi,CN",37.15,71.39,60.0,92.0,3.15
104,"lagoa,PT",37.14,68.0,94.0,0.0,5.82
105,"ribeira grande,PT",38.52,70.22,100.0,80.0,2.37
106,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
107,"arki,IN",31.15,70.76,64.0,0.0,2.37
108,"kamiiso,JP",41.82,60.8,87.0,75.0,9.17
109,"mataura,PF",,,,,
110,"grand river south east,MU",,,,,
111,"colombia,CU",20.99,86.0,66.0,40.0,11.41
112,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
113,"aklavik,CA",68.22,48.2,76.0,90.0,11.41
114,"houma,CN",35.63,76.16,65.0,0.0,4.05
115,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
116,"nikolskoye,RU",59.7,57.2,71.0,0.0,2.24
117,"nanortalik,GL",60.14,35.57,100.0,64.0,1.59
118,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
119,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
120,"manokwari,ID",-0.87,81.38,100.0,32.0,9.75
121,"sorland,NO",67.67,47.09,100.0,0.0,16.58
122,"matara,LK",5.95,74.45,100.0,48.0,4.05
123,"lebu,CL",-37.62,49.07,100.0,0.0,22.62
124,"uvat,RU",59.14,57.08,95.0,44.0,7.4
125,"nikolskoye,RU",59.7,57.2,71.0,0.0,2.24
126,"paita,PE",-5.09,71.39,70.0,0.0,8.08
127,"valparaiso,CL",-33.04,51.8,93.0,75.0,2.59
128,"mouzakion,GR",,,,,
129,"faanui,PF",-16.48,80.84,100.0,0.0,14.0
130,"puerto ayacucho,VE",5.66,86.0,62.0,20.0,2.48
131,"port alfred,ZA",-33.59,63.38,91.0,0.0,21.05
132,"mataura,PF",,,,,
133,"souillac,MU",-20.52,71.6,68.0,40.0,5.82
134,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
135,"chara,RU",56.9,53.48,100.0,92.0,2.15
136,"taoudenni,ML",22.68,79.58,13.0,0.0,8.63
137,"coquimbo,CL",-29.95,50.0,87.0,0.0,5.82
138,"hilo,US",19.71,82.4,58.0,1.0,8.05
139,"cabo san lucas,MX",22.89,78.8,64.0,5.0,16.11
140,"socorro,US",31.65,105.8,2.0,20.0,17.22
141,"atuona,PF",-9.8,80.48,100.0,0.0,18.03
142,"albany,AU",-35.02,42.05,92.0,48.0,2.93
143,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
144,"camana,PE",,,,,
145,"atuona,PF",-9.8,80.48,100.0,0.0,18.03
146,"bairnsdale,AU",-37.83,48.98,90.0,80.0,7.18
147,"nichinan,JP",31.65,73.4,83.0,75.0,12.75
148,"tasiilaq,GL",65.61,39.2,93.0,75.0,4.7
149,"port alfred,ZA",-33.59,63.38,91.0,0.0,21.05
150,"kalaiya,NP",27.03,78.41,92.0,48.0,3.15
151,"cairns,AU",-16.92,69.8,94.0,75.0,12.75
152,"albany,AU",-35.02,42.05,92.0,48.0,2.93
153,"acapulco,MX",16.86,82.4,83.0,90.0,4.7
154,"touros,BR",-5.2,76.25,88.0,88.0,14.45
155,"vestmannaeyjar,IS",63.44,48.53,100.0,92.0,8.63
156,"saint-georges,GF",,,,,
157,"amderma,RU",,,,,
158,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
159,"lobez,PL",53.64,55.4,82.0,0.0,6.93
160,"upernavik,GL",72.79,30.8,100.0,76.0,6.29
161,"surgut,RU",61.25,57.2,100.0,75.0,8.95
162,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
163,"susanville,US",40.42,87.8,12.0,1.0,3.36
164,"busselton,AU",-33.64,54.65,100.0,12.0,9.53
165,"leh,IN",34.16,29.36,97.0,92.0,1.59
166,"bambous virieux,MU",-20.34,71.6,68.0,40.0,5.82
167,"atuona,PF",-9.8,80.48,100.0,0.0,18.03
168,"east london,ZA",-33.02,65.45,100.0,0.0,24.85
169,"dikson,RU",73.51,32.15,99.0,88.0,13.0
170,"lompoc,US",34.64,84.2,82.0,90.0,9.17
171,"mocambique,MZ",,,,,
172,"koath,IN",25.32,83.36,78.0,8.0,3.71
173,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
174,"belushya guba,RU",,,,,
175,"manta,EC",-0.95,80.6,74.0,40.0,9.17
176,"cape town,ZA",-33.93,55.4,93.0,75.0,8.05
177,"cabo san lucas,MX",22.89,78.8,64.0,5.0,16.11
178,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
179,"nikolskoye,RU",59.7,57.2,71.0,0.0,2.24
180,"iqaluit,CA",63.75,46.4,94.0,75.0,5.82
181,"cidreira,BR",-30.17,69.32,66.0,80.0,8.41
182,"castro,CL",-42.48,32.06,100.0,8.0,1.36
183,"otsuki,JP",35.64,66.2,88.0,20.0,8.05
184,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
185,"saskylakh,RU",71.97,68.69,100.0,24.0,4.72
186,"jacareacanga,BR",-6.22,82.01,56.0,56.0,4.38
187,"xadani,MX",,,,,
188,"nizhneyansk,RU",,,,,
189,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
190,"mataura,PF",,,,,
191,"vaini,TO",-21.2,77.0,73.0,40.0,9.17
192,"pierre,US",44.37,73.4,69.0,20.0,16.11
193,"illoqqortoormiut,GL",,,,,
194,"dubenskiy,RU",,,,,
195,"bayir,JO",,,,,
196,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
197,"greenville,US",34.85,86.0,78.0,5.0,5.82
198,"taolanaro,MG",,,,,
199,"port alfred,ZA",-33.59,63.38,91.0,0.0,21.05
200,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
201,"huarmey,PE",-10.07,58.07,88.0,0.0,3.15
202,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
203,"batticaloa,LK",7.71,77.69,100.0,24.0,5.39
204,"atuona,PF",-9.8,80.48,100.0,0.0,18.03
205,"khatanga,RU",71.98,51.59,88.0,80.0,12.66
206,"aklavik,CA",68.22,48.2,76.0,90.0,11.41
207,"ahipara,NZ",-35.17,58.61,86.0,20.0,15.12
208,"tura,RU",64.27,66.44,77.0,0.0,2.59
209,"albany,AU",-35.02,42.05,92.0,48.0,2.93
210,"dikson,RU",73.51,32.15,99.0,88.0,13.0
211,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
212,"harrismith,ZA",-28.27,35.03,51.0,0.0,5.17
213,"kapaa,US",22.08,84.2,66.0,40.0,16.11
214,"taolanaro,MG",,,,,
215,"clyde river,CA",70.47,42.8,70.0,75.0,12.75
216,"vaini,TO",-21.2,77.0,73.0,40.0,9.17
217,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
218,"puerto ayora,EC",-0.74,78.8,61.0,75.0,12.75
219,"barrow,US",39.51,78.8,78.0,75.0,3.36
220,"saldanha,ZA",-33.01,51.8,100.0,36.0,2.24
221,"amapa,BR",-1.83,76.97,90.0,20.0,3.6
222,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
223,"roma,AU",-26.57,56.81,73.0,8.0,4.61
224,"abilene,US",32.45,102.2,24.0,75.0,10.29
225,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
226,"havre-saint-pierre,CA",50.23,62.6,51.0,90.0,6.93
227,"longyearbyen,SJ",78.22,50.0,34.0,0.0,12.75
228,"iaciara,BR",-14.1,65.72,57.0,0.0,6.17
229,"dikson,RU",73.51,32.15,99.0,88.0,13.0
230,"santa eulalia del rio,ES",,,,,
231,"port alfred,ZA",-33.59,63.38,91.0,0.0,21.05
232,"lebu,CL",-37.62,49.07,100.0,0.0,22.62
233,"lagoa,PT",37.14,68.0,94.0,0.0,5.82
234,"upernavik,GL",72.79,30.8,100.0,76.0,6.29
235,"cape town,ZA",-33.93,55.4,93.0,75.0,8.05
236,"illoqqortoormiut,GL",,,,,
237,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
238,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
239,"kapaa,US",22.08,84.2,66.0,40.0,16.11
240,"haines junction,CA",60.75,56.54,41.0,32.0,2.82
241,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
242,"mataura,PF",,,,,
243,"taolanaro,MG",,,,,
244,"oranjemund,NA",-28.55,57.98,100.0,0.0,10.42
245,"lagoa,PT",37.14,68.0,94.0,0.0,5.82
246,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
247,"fortuna,US",40.6,75.2,68.0,1.0,16.11
248,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
249,"watsa,CD",3.04,61.4,96.0,36.0,2.71
250,"attawapiskat,CA",,,,,
251,"jamestown,SH",-15.94,71.21,100.0,0.0,20.83
252,"upernavik,GL",72.79,30.8,100.0,76.0,6.29
253,"butaritari,KI",3.07,84.26,100.0,68.0,4.05
254,"belushya guba,RU",,,,,
255,"chokurdakh,RU",70.62,47.72,85.0,0.0,8.75
256,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
257,"lebu,CL",-37.62,49.07,100.0,0.0,22.62
258,"luderitz,NA",-26.65,49.43,92.0,0.0,14.45
259,"qaanaaq,GL",77.48,32.6,95.0,44.0,3.04
260,"mataura,PF",,,,,
261,"tuktoyaktuk,CA",69.44,35.6,93.0,90.0,16.11
262,"shingu,JP",33.72,69.8,100.0,75.0,12.75
263,"macaboboni,PH",,,,,
264,"illoqqortoormiut,GL",,,,,
265,"cape town,ZA",-33.93,55.4,93.0,75.0,8.05
266,"qaanaaq,GL",77.48,32.6,95.0,44.0,3.04
267,"arraial do cabo,BR",-22.97,73.19,81.0,0.0,17.92
268,"kapaa,US",22.08,84.2,66.0,40.0,16.11
269,"evensk,RU",61.92,55.28,71.0,8.0,6.73
270,"mataura,PF",,,,,
271,"castro,CL",-42.48,32.06,100.0,8.0,1.36
272,"mataura,PF",,,,,
273,"ponta delgada,PT",37.73,66.2,77.0,40.0,5.82
274,"rovaniemi,FI",66.5,44.6,93.0,90.0,5.82
275,"amahai,ID",-3.31,78.59,100.0,92.0,8.19
276,"nikolskoye,RU",59.7,57.2,71.0,0.0,2.24
277,"taolanaro,MG",,,,,
278,"fairbanks,US",64.84,69.8,32.0,44.0,12.75
279,"lavrentiya,RU",65.58,38.99,94.0,76.0,10.54
280,"palmer,US",61.6,60.8,62.0,90.0,5.82
281,"halalo,WF",,,,,
282,"sonkovo,RU",57.78,64.82,72.0,24.0,6.4
283,"new norfolk,AU",-42.78,48.2,61.0,40.0,9.17
284,"hilo,US",19.71,82.4,58.0,1.0,8.05
285,"necochea,AR",-38.55,43.58,95.0,92.0,20.6
286,"castro,CL",-42.48,32.06,100.0,8.0,1.36
287,"ribeira grande,PT",38.52,70.22,100.0,80.0,2.37
288,"yomou,GN",7.57,66.98,98.0,24.0,2.93
289,"thompson,CA",55.74,75.2,23.0,20.0,5.82
290,"qaanaaq,GL",77.48,32.6,95.0,44.0,3.04
291,"srednekolymsk,RU",67.46,62.48,58.0,8.0,4.72
292,"jamestown,SH",-15.94,71.21,100.0,0.0,20.83
293,"port alfred,ZA",-33.59,63.38,91.0,0.0,21.05
294,"barrow,US",39.51,78.8,78.0,75.0,3.36
295,"nikolskoye,RU",59.7,57.2,71.0,0.0,2.24
296,"kabugao,PH",18.02,74.36,97.0,88.0,1.14
297,"saleaula,WS",,,,,
298,"puerto ayora,EC",-0.74,78.8,61.0,75.0,12.75
299,"east london,ZA",-33.02,65.45,100.0,0.0,24.85
300,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
301,"aksha,RU",50.28,56.72,100.0,92.0,7.4
302,"dikson,RU",73.51,32.15,99.0,88.0,13.0
303,"chicama,PE",-7.84,66.2,77.0,90.0,6.93
304,"barrow,US",39.51,78.8,78.0,75.0,3.36
305,"bredasdorp,ZA",-34.53,59.0,62.0,76.0,10.29
306,"sao filipe,CV",14.9,73.28,100.0,8.0,12.1
307,"carnarvon,AU",-24.87,57.26,100.0,0.0,18.7
308,"avarua,CK",-21.21,84.2,74.0,40.0,5.82
309,"tuktoyaktuk,CA",69.44,35.6,93.0,90.0,16.11
310,"guerrero negro,MX",27.97,76.88,56.0,0.0,8.63
311,"rawson,AR",-43.3,32.87,39.0,0.0,8.97
312,"mar del plata,AR",-46.43,35.48,78.0,12.0,13.67
313,"clyde river,CA",70.47,42.8,70.0,75.0,12.75
314,"busselton,AU",-33.64,54.65,100.0,12.0,9.53
315,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
316,"norman wells,CA",65.28,69.8,56.0,75.0,21.92
317,"busselton,AU",-33.64,54.65,100.0,12.0,9.53
318,"nishihara,JP",35.74,68.0,88.0,20.0,8.05
319,"mareeba,AU",-16.99,69.8,94.0,75.0,12.75
320,"parana,AR",-31.73,52.31,60.0,0.0,16.8
321,"sao francisco,BR",-25.65,68.0,88.0,0.0,2.24
322,"arraial do cabo,BR",-22.97,73.19,81.0,0.0,17.92
323,"tuktoyaktuk,CA",69.44,35.6,93.0,90.0,16.11
324,"chuy,UY",-33.69,51.23,88.0,68.0,17.36
325,"mayo,CA",63.59,68.0,49.0,75.0,9.17
326,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
327,"auki,SB",-8.77,81.29,99.0,76.0,8.41
328,"nizhneyansk,RU",,,,,
329,"barrow,US",39.51,78.8,78.0,75.0,3.36
330,"mataram,ID",-5.32,71.75,97.0,88.0,0.81
331,"lusambo,CD",-4.97,70.22,92.0,32.0,1.25
332,"victoria,SC",-4.62,78.8,83.0,32.0,13.87
333,"chokurdakh,RU",70.62,47.72,85.0,0.0,8.75
334,"alofi,NU",-19.06,78.8,78.0,76.0,18.34
335,"talara,PE",-4.58,71.39,70.0,0.0,8.08
336,"hilo,US",19.71,82.4,58.0,1.0,8.05
337,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
338,"sola,VU",-13.88,77.69,100.0,92.0,15.46
339,"bambous virieux,MU",-20.34,71.6,68.0,40.0,5.82
340,"mitchell,US",43.71,78.8,65.0,20.0,13.87
341,"bolungarvik,IS",,,,,
342,"saint-honore,CA",,,,,
343,"salta,AR",-24.79,62.6,71.0,75.0,8.05
344,"mataura,PF",,,,,
345,"kalmunai,LK",7.42,74.36,96.0,36.0,7.63
346,"north bend,US",43.41,66.2,63.0,1.0,21.92
347,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
348,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
349,"victoria,SC",-4.62,78.8,83.0,32.0,13.87
350,"norman wells,CA",65.28,69.8,56.0,75.0,21.92
